% Model,CVD_Reactor_Run1_Baseline.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 16 2026, 13:55"
% Dimension,1
% Nodes,565
% Expressions,1
% Description,Line graph
% r-coordinate (m),Molar concentration; c
0,0.001384707413999142
2.59379078361931E-4,0.0014124885228155664
5.18758156723862E-4,0.001440269631631991
7.78137235085793E-4,0.0015088763769226152
0.001037516313447724,0.0015774831222132393
0.0012968953918096472,0.001701638220226987
0.0015562744701715704,0.0018257933182407348
0.0018156535485335014,0.0018925810415970773
0.0020750326268954324,0.0019593687649534196
0.0023344117052573636,0.0020752898937675653
0.0025937907836192944,0.002191211022581711
0.002853169861981225,0.0021980062969523414
0.0031125489403431563,0.0022048015713229717
0.0033719280187050876,0.0023161923511781026
0.0036313070970670183,0.0024275831310332334
0.0038906861754289413,0.0024957221412886315
0.004150065253790865,0.00256386115154403
0.00440944433215278,0.002651286670439132
0.004668823410514696,0.0027387121893342335
0.004928202488876642,0.0027773781580982745
0.005187581567238589,0.002816044126862315
0.00544696064560052,0.002868543973020542
0.005706339723962451,0.0029210438191787694
0.005965718802324382,0.0029643654268755038
0.006225097880686313,0.0030076870345722376
0.006484476959048244,0.003035226700296958
0.006743856037410175,0.0030627663660216784
0.007003235115772083,0.0030032507154803207
0.00726261419413399,0.0029437350649389633
0.007521993272495921,0.002909901363283331
0.007781372350857852,0.0028760676616276988
0.008040751429219799,0.002797267214449396
0.008300130507581745,0.0027184667672710936
0.008559509585943662,0.002634148232672823
0.008818888664305576,0.0025498296980745526
0.009078267742667508,0.002428426962476786
0.009337646821029439,0.002307024226879019
0.009597025899391385,0.0021982158907156543
0.00985640497775333,0.0020894075545522897
0.010115784056115238,0.001905742950308072
0.010375163134477146,0.0017220783460638544
0.010634542212839094,0.001574152054199889
0.01089392129120104,0.0014262257623359237
0.011153300369562972,0.001277417045151088
0.011412679447924902,0.0011286083279662524
0.011672058526286817,0.0010059181900960873
0.011931437604648732,8.832280522259222E-4
0.012190816683010662,7.924947071371705E-4
0.012450195761372594,7.017613620484188E-4
0.012709574839734518,6.669749195508123E-4
0.012968953918096441,6.321884770532057E-4
0.013228332996458387,6.350059682141341E-4
0.013487712074820335,6.378234593750624E-4
0.013747091153182265,6.532323359309789E-4
0.014006470231544195,6.686412124868954E-4
0.014265849309906126,6.867430225142527E-4
0.014525228388268058,7.048448325416101E-4
0.014784607466630004,7.195694886824948E-4
0.015043986544991951,7.342941448233796E-4
0.015303365623353882,7.429387885958185E-4
0.015562744701715814,7.515834323682573E-4
0.015822123780077753,7.564899103177768E-4
0.016081502858439692,7.613963882672963E-4
0.016340881936801638,7.564142165950481E-4
0.016600261015163584,7.514320449228E-4
0.01685964009352551,7.388932784732881E-4
0.01711901917188743,7.263545120237763E-4
