% Model,CVD_Reactor_SingleZone_Complete.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 18 2026, 13:21"
% Dimension,1
% Nodes,771
% Expressions,1
% Description,Line graph
% r-coordinate (m),Temperature
0,1099.9753768920898
1.9480519480519486E-4,1099.9753768920898
3.896103896103897E-4,1099.9753768920898
5.84415584415593E-4,1099.9753768920898
7.792207792207961E-4,1099.9753768920898
9.740259740259744E-4,1099.9753768920898
0.0011688311688311526,1099.9753768920898
0.0013636363636363473,1099.9753768920898
0.0015584415584415422,1099.9753768920898
0.0017532467532467289,1099.9753768920898
0.0019480519480519153,1099.9753768920898
0.002142857142857127,1099.9753768920898
0.0023376623376623385,1099.9753768920898
0.0025324675324675167,1099.9753768920898
0.002727272727272695,1099.9753768920898
0.0029220779220778814,1099.9753768920898
0.003116883116883068,1099.9753768920898
0.003311688311688263,1099.9753768920898
0.0035064935064934577,1099.9753768920898
0.0037012987012986524,1099.9753768920898
0.003896103896103847,1099.9753768920898
0.0040909090909090505,1099.9753768920898
0.004285714285714254,1099.9753768920898
0.004480519480519432,1099.9753768920898
0.00467532467532461,1099.9753768920898
0.004870129870129805,1099.9753768920898
0.005064935064935,1099.9753768920898
0.0052597402597402195,1099.9753768920898
0.005454545454545439,1099.9753768920898
0.005649350649350618,1099.9753768920898
0.005844155844155796,1099.9753768920898
0.006038961038960999,1099.9753768920898
0.0062337662337662025,1099.9753768920898
0.006428571428571381,1099.9753768920898
0.006623376623376559,1099.9753768920898
0.0068181818181817615,1099.9753768920898
0.007012987012986965,1099.9753768920898
0.007207792207792143,1099.9753768920898
0.007402597402597321,1099.9753768920898
0.007597402597402516,1099.9753768920898
0.0077922077922077115,1099.9753768920898
0.007987012987012914,1099.9753768920898
0.008181818181818118,1099.9753768920898
0.008376623376623312,1099.9753768920898
0.008571428571428508,1099.9753768920898
0.008766233766233686,1099.9753768920898
0.008961038961038864,1099.9753768920898
0.00915584415584406,1099.9753768920898
0.009350649350649253,1099.9753768920898
0.009545454545454458,1099.9753768920898
0.00974025974025966,1099.9753768920898
0.009935064935064838,1099.9753768920898
0.010129870129870017,1099.9753768920898
0.01032467532467522,1099.9753768920898
0.010519480519480423,1099.9753768920898
0.010714285714285617,1099.9753768920898
0.010909090909090813,1099.9753768920898
0.011103896103896008,1099.9753768920898
0.011298701298701202,1099.9753768920898
0.011493506493506389,1099.9753768920898
0.011688311688311576,1099.9753768920898
0.01188311688311677,1099.9753768920898
0.012077922077921965,1099.9753768920898
0.012272727272727168,1099.9753768920898
0.012467532467532372,1099.9753768920898
0.01266233766233755,1099.9753768920898
0.012857142857142729,1099.9753768920898
0.013051948051947922,1099.9753768920898
