% Model,CVD_Reactor_SingleZone_Complete.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 18 2026, 13:37"
% Dimension,1
% Nodes,771
% Expressions,1
% Description,Line graph
% r-coordinate (m),Molar concentration; c
0,1.9698761223248154E-4
1.9480519480519486E-4,1.9569949215872667E-4
3.896103896103897E-4,1.9441137208497177E-4
5.84415584415593E-4,1.9634110342286746E-4
7.792207792207961E-4,1.9827083476076316E-4
9.740259740259744E-4,1.9864508631582E-4
0.0011688311688311526,1.9901933787087685E-4
0.0013636363636363473,2.0119210503081948E-4
0.0015584415584415422,2.0336487219076212E-4
0.0017532467532467289,2.041791475810613E-4
0.0019480519480519153,2.0499342297136049E-4
0.002142857142857127,2.10446858930256E-4
0.0023376623376623385,2.1590029488915155E-4
0.0025324675324675167,2.1487040786044754E-4
0.002727272727272695,2.1384052083174356E-4
0.0029220779220778814,2.1760873444861628E-4
0.003116883116883068,2.2137694806548898E-4
0.003311688311688263,2.1943566315000797E-4
0.0035064935064934577,2.1749437823452694E-4
0.0037012987012986524,2.2116341667140113E-4
0.003896103896103847,2.248324551082753E-4
0.0040909090909090505,2.2464190053943976E-4
0.004285714285714254,2.2445134597060427E-4
0.004480519480519432,2.264828112625995E-4
0.00467532467532461,2.2851427655459468E-4
0.004870129870129805,2.278500414699242E-4
0.005064935064935,2.2718580638525376E-4
0.0052597402597402195,2.2849816117012986E-4
0.005454545454545439,2.2981051595500593E-4
0.005649350649350618,2.2807944563723443E-4
0.005844155844155796,2.2634837531946295E-4
0.006038961038960999,2.2885519967934487E-4
0.0062337662337662025,2.313620240392268E-4
0.006428571428571381,2.299201931372179E-4
0.006623376623376559,2.2847836223520898E-4
0.0068181818181817615,2.3023347450799742E-4
0.007012987012986965,2.3198858678078586E-4
0.007207792207792143,2.306416746948768E-4
0.007402597402597321,2.2929476260896773E-4
0.007597402597402516,2.300079068426507E-4
0.0077922077922077115,2.3072105107633368E-4
0.007987012987012914,2.2870249994306859E-4
0.008181818181818118,2.266839488098035E-4
0.008376623376623312,2.2756795032152584E-4
0.008571428571428508,2.284519518332482E-4
0.008766233766233686,2.266014179577725E-4
0.008961038961038864,2.2475088408229678E-4
0.00915584415584406,2.2510727206653428E-4
0.009350649350649253,2.254636600507718E-4
0.009545454545454458,2.2398905356000172E-4
0.00974025974025966,2.2251444706923164E-4
0.009935064935064838,2.2594702027601724E-4
0.010129870129870017,2.2937959348280287E-4
0.01032467532467522,2.286602853656156E-4
0.010519480519480423,2.2794097724842833E-4
0.010714285714285617,2.276819099997654E-4
0.010909090909090813,2.2742284275110246E-4
0.011103896103896008,2.246993414965645E-4
0.011298701298701202,2.2197584024202655E-4
0.011493506493506389,2.2528821675106507E-4
0.011688311688311576,2.2860059326010359E-4
0.01188311688311677,2.268549556540093E-4
0.012077922077921965,2.2510931804791497E-4
0.012272727272727168,2.2561865170218096E-4
0.012467532467532372,2.2612798535644695E-4
0.01266233766233755,2.2725846545781447E-4
0.012857142857142729,2.2838894555918197E-4
0.013051948051947922,2.3053757323340292E-4
0.013246753246753118,2.3268620090762383E-4
0.013441558441558338,2.3288755760268574E-4
0.013636363636363558,2.3308891429774762E-4
0.013831168831168736,2.343690496971442E-4
0.014025974025973914,2.3564918509654076E-4
0.01422077922077911,2.3425701063848052E-4
0.014415584415584303,2.328648361804203E-4
0.014610389610389508,2.3233807117818288E-4
0.01480519480519471,2.318113061759455E-4
0.014999999999999906,2.3040778281703924E-4
0.0151948051948051,2.2900425945813298E-4
0.015389610389610278,2.3047234543360014E-4
0.015584415584415456,2.319404314090673E-4
0.015779220779220643,2.317403408846459E-4
0.015974025974025828,2.3154025036022446E-4
0.016168831168831024,2.3168815261081748E-4
0.01636363636363622,2.318360548614105E-4
0.01655844155844141,2.3170966582384894E-4
0.016753246753246607,2.315832767862874E-4
0.016948051948051795,2.3074541575034642E-4
0.01714285714285698,2.2990755471440544E-4
0.01733766233766216,2.2768740009795674E-4
0.017532467532467337,2.2546724548150806E-4
0.01772727272727255,2.2588301860529256E-4
0.01792207792207776,2.262987917290771E-4
0.018116883116882962,2.2627125724171854E-4
0.018311688311688168,2.2624372275436E-4
0.018506493506493346,2.270895555449463E-4
0.018701298701298524,2.2793538833553256E-4
0.018896103896103727,2.2805353083390302E-4
0.01909090909090893,2.281716733322735E-4
0.019285714285714108,2.299663710885078E-4
0.019480519480519286,2.3176106884474211E-4
0.0196753246753245,2.32548960778277E-4
0.019870129870129708,2.3333685271181186E-4
0.020064935064934897,2.3130869040921423E-4
0.020259740259740082,2.2928052810661657E-4
0.020454545454545277,2.2800231936630967E-4
0.020649350649350473,2.2672411062600278E-4
0.020844155844155676,2.2791114314751199E-4
0.021038961038960878,2.2909817566902117E-4
0.021233766233766056,2.2462235423996636E-4
0.021428571428571234,2.2014653281091158E-4
0.02162337662337643,2.210606547288764E-4
0.021818181818181626,2.219747766468412E-4
0.022012987012986818,2.209413753463367E-4
0.022207792207792013,2.1990797404583214E-4
0.022402597402597216,2.2238231655025782E-4
0.022597402597402422,2.2485665905468347E-4
0.022792207792207614,2.247237745435038E-4
0.02298701298701281,2.245908900323241E-4
0.023181818181817998,2.2547023275324454E-4
0.023376623376623183,2.2634957547416502E-4
0.02357142857142838,2.2701673083367046E-4
0.023766233766233574,2.2768388619317587E-4
0.023961038961038753,2.277976799510446E-4
0.02415584415584393,2.2791147370891332E-4
