% Model,CVD_Reactor_SingleZone_Complete.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 18 2026, 14:39"
% Dimension,1
% Nodes,771
% Expressions,1
% Description,Line graph
% r-coordinate (m),Molar concentration; c
0,4.2655149733705343E-4
1.9480519480519486E-4,4.279335164460859E-4
3.896103896103897E-4,4.293155355551184E-4
5.84415584415593E-4,4.286957723541926E-4
7.792207792207961E-4,4.2807600915326674E-4
9.740259740259744E-4,4.248394603330115E-4
0.0011688311688311526,4.216029115127562E-4
0.0013636363636363473,4.248131016040029E-4
0.0015584415584415422,4.280232916952496E-4
0.0017532467532467289,4.2919410768667087E-4
0.0019480519480519153,4.3036492367809216E-4
0.002142857142857127,4.3507835932245795E-4
0.0023376623376623385,4.397917949668237E-4
0.0025324675324675167,4.388663290544794E-4
0.002727272727272695,4.379408631421351E-4
0.0029220779220778814,4.386858353603245E-4
0.003116883116883068,4.39430807578514E-4
0.003311688311688263,4.393192179312867E-4
0.0035064935064934577,4.392076282840595E-4
0.0037012987012986524,4.4269189284953134E-4
0.003896103896103847,4.461761574150032E-4
0.0040909090909090505,4.454520615028058E-4
0.004285714285714254,4.447279655906084E-4
0.004480519480519432,4.446888509320169E-4
0.00467532467532461,4.446497362734254E-4
0.004870129870129805,4.429915295775072E-4
0.005064935064935,4.4133332288158895E-4
0.0052597402597402195,4.4362671535747337E-4
0.005454545454545439,4.4592010783335773E-4
0.005649350649350618,4.4672934717568586E-4
0.005844155844155796,4.47538586518014E-4
0.006038961038960999,4.4779101683758656E-4
0.0062337662337662025,4.480434471571592E-4
0.006428571428571381,4.476114718400234E-4
0.006623376623376559,4.4717949652288766E-4
0.0068181818181817615,4.475168442193442E-4
0.007012987012986965,4.4785419191580077E-4
0.007207792207792143,4.475859557661406E-4
0.007402597402597321,4.473177196164805E-4
0.007597402597402516,4.482075981554777E-4
0.0077922077922077115,4.4909747669447483E-4
0.007987012987012914,4.476664118531463E-4
0.008181818181818118,4.4623534701181784E-4
0.008376623376623312,4.4724138879819657E-4
0.008571428571428508,4.4824743058457524E-4
0.008766233766233686,4.4875580766696343E-4
0.008961038961038864,4.492641847493516E-4
0.00915584415584406,4.498964546031299E-4
0.009350649350649253,4.505287244569082E-4
0.009545454545454458,4.5019985640566934E-4
0.00974025974025966,4.498709883544305E-4
0.009935064935064838,4.501355573985982E-4
0.010129870129870017,4.5040012644276587E-4
0.01032467532467522,4.5014103463785914E-4
0.010519480519480423,4.4988194283295246E-4
0.010714285714285617,4.499111145895526E-4
0.010909090909090813,4.4994028634615275E-4
0.011103896103896008,4.498743511993665E-4
0.011298701298701202,4.498084160525802E-4
0.011493506493506389,4.4989728749671756E-4
0.011688311688311576,4.4998615894085493E-4
0.01188311688311677,4.497268141759832E-4
0.012077922077921965,4.494674694111115E-4
0.012272727272727168,4.5003964237761936E-4
0.012467532467532372,4.5061181534412724E-4
0.01266233766233755,4.487368138444536E-4
0.012857142857142729,4.4686181234478E-4
0.013051948051947922,4.468067199219786E-4
0.013246753246753118,4.4675162749917725E-4
0.013441558441558338,4.482895584267013E-4
0.013636363636363558,4.498274893542253E-4
0.013831168831168736,4.5079681323717465E-4
0.014025974025973914,4.51766137120124E-4
0.01422077922077911,4.5114792564840146E-4
0.014415584415584303,4.505297141766789E-4
0.014610389610389508,4.495501680162434E-4
0.01480519480519471,4.4857062185580786E-4
0.014999999999999906,4.502438797974492E-4
0.0151948051948051,4.519171377390906E-4
0.015389610389610278,4.5270692422363446E-4
0.015584415584415456,4.5349671070817825E-4
0.015779220779220643,4.5355043528953797E-4
0.015974025974025828,4.5360415987089764E-4
0.016168831168831024,4.538565712859039E-4
0.01636363636363622,4.541089827009101E-4
0.01655844155844141,4.545035944885071E-4
0.016753246753246607,4.548982062761041E-4
0.016948051948051795,4.5457175086527E-4
0.01714285714285698,4.542452954544359E-4
0.01733766233766216,4.544878762912731E-4
0.017532467532467337,4.547304571281103E-4
0.01772727272727255,4.515908478412191E-4
0.01792207792207776,4.484512385543279E-4
0.018116883116882962,4.506040300557249E-4
0.018311688311688168,4.5275682155712193E-4
0.018506493506493346,4.5304959964701305E-4
0.018701298701298524,4.5334237773690417E-4
0.018896103896103727,4.5355960115707055E-4
0.01909090909090893,4.537768245772369E-4
0.019285714285714108,4.5151501735299544E-4
0.019480519480519286,4.49253210128754E-4
0.0196753246753245,4.5109494121863133E-4
0.019870129870129708,4.529366723085087E-4
0.020064935064934897,4.5244151708724286E-4
0.020259740259740082,4.51946361865977E-4
0.020454545454545277,4.535722157560122E-4
0.020649350649350473,4.5519806964604737E-4
0.020844155844155676,4.56156385920687E-4
0.021038961038960878,4.571147021953266E-4
0.021233766233766056,4.577007919915011E-4
0.021428571428571234,4.5828688178767556E-4
0.02162337662337643,4.5902900357544583E-4
0.021818181818181626,4.5977112536321616E-4
0.022012987012986818,4.598004324498989E-4
0.022207792207792013,4.598297395365817E-4
0.022402597402597216,4.601284766947201E-4
0.022597402597402422,4.6042721385285856E-4
0.022792207792207614,4.600902993522175E-4
0.02298701298701281,4.5975338485157647E-4
0.023181818181817998,4.597423273557256E-4
0.023376623376623183,4.597312698598748E-4
0.02357142857142838,4.5927401537913966E-4
0.023766233766233574,4.588167608984045E-4
0.023961038961038753,4.5868503375426546E-4
0.02415584415584393,4.585533066101264E-4
0.024350649350649133,4.580519651858209E-4
0.024545454545454336,4.5755062376151546E-4
0.02474025974025953,4.576153942330365E-4
0.024935064935064727,4.576801647045575E-4
0.02512987012986993,4.5727368610971886E-4
0.025324675324675132,4.568672075148802E-4
0.025519480519480317,4.5689532840704084E-4
0.025714285714285506,4.5692344929920144E-4
0.0259090909090907,4.5688607826050473E-4
