% Model,CVD_Reactor_SingleZone_Complete.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 18 2026, 12:50"
% Dimension,1
% Nodes,579
% Expressions,1
% Description,Line graph
% r-coordinate (m),Molar concentration; c
0,7.38446705685272E-4
2.595155709342434E-4,7.233991558716214E-4
5.190311418684868E-4,7.083516060579708E-4
7.785467128027467E-4,7.252422101582563E-4
0.0010380622837370067,7.421328142585418E-4
0.0012975778546712585,7.420331972094201E-4
0.00155709342560551,7.419335801602985E-4
0.0018166089965397703,7.570724745603714E-4
0.0020761245674740304,7.722113689604442E-4
0.0023356401384082735,7.740518067195818E-4
0.002595155709342517,7.758922444787192E-4
0.002854671280276752,7.902207018235867E-4
0.0031141868512109872,8.045491591684541E-4
0.003373702422145247,8.056105225821971E-4
0.003633217993079507,8.066718859959403E-4
0.0038927335640137504,8.214001621863201E-4
0.004152249134947994,8.361284383766997E-4
0.0044117647058822705,8.352183411321512E-4
0.004671280276816547,8.343082438876025E-4
0.0049307958477507905,8.417025042718036E-4
0.005190311418685034,8.490967646560048E-4
0.005449826989619294,8.457806905791719E-4
0.005709342560553554,8.424646165023392E-4
0.005968858131487797,8.484632079049193E-4
0.00622837370242204,8.544617993074995E-4
0.006487889273356293,8.529592288182532E-4
0.006747404844290544,8.51456658329007E-4
0.0070069204152247875,8.546373133794165E-4
0.007266435986159031,8.57817968429826E-4
0.007525951557093308,8.550844456588946E-4
0.007785467128027584,8.523509228879634E-4
0.008044982698961829,8.563171241616035E-4
0.008304498269896071,8.602833254352436E-4
0.008564013840830307,8.558674834845105E-4
0.008823529411764541,8.514516415337774E-4
0.009083044982698801,8.545767840310939E-4
0.009342560553633061,8.577019265284103E-4
0.009602076124567321,8.534453432975945E-4
0.009861591695501581,8.491887600667787E-4
0.010121107266435826,8.511321248119871E-4
0.010380622837370068,8.530754895571956E-4
0.010640138408304311,8.516587430711709E-4
0.010899653979238555,8.502419965851463E-4
0.011159169550172807,8.565529993937557E-4
0.011418685121107058,8.62864002202365E-4
0.011678200692041318,8.571117897585062E-4
0.011937716262975578,8.513595773146475E-4
0.012197231833909822,8.575190247778689E-4
0.012456747404844065,8.636784722410905E-4
0.012716262975778308,8.601663810499869E-4
0.012975778546712552,8.566542898588833E-4
0.013235294117646828,8.588689566782289E-4
0.013494809688581105,8.610836234975744E-4
0.013754325259515341,8.577605127384532E-4
0.014013840830449575,8.54437401979332E-4
0.014273356401383835,8.554033053937908E-4
0.014532871972318095,8.563692088082497E-4
0.014792387543252355,8.527568497855715E-4
0.015051903114186615,8.491444907628934E-4
0.01531141868512086,8.496448074201419E-4
