% Model,reactor_3D_ports.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 31 2026, 12:41"
% Dimension,2
% Nodes,6012
% Expressions,1
% Description,"Molar concentration, c"
% Length unit,m
% surf1x,surf1y,c (mol/m^3)
-0.1455661722379817,0.03620068369495585,0.3760044407653996
-0.14155589830806317,0.03716396058221761,0.3749220063373689
-0.14453249887788344,0.04012925077938312,0.3693172351982468
-0.12852857642513837,0.07733307857655326,0.3866800206454946
-0.12439891419284983,0.07706721969683973,0.3849360048930323
-0.12638731104249737,0.08078519423413565,0.375911328616066
-0.1343808391138032,0.06664675595308554,0.3896971604574109
-0.13026993987966476,0.06667144551719201,0.3942905017431188
-0.13252680666690345,0.07026126610496851,0.3888838764363341
-0.12839461076142528,0.0702290147845618,0.39285455418885307
-0.13057557540842582,0.0738242447083511,0.38890439700627694
-0.12644414756834213,0.07363852068468511,0.3971994604650595
-0.12239992416562762,0.07344656528808778,0.3853790598270636
-0.122218315847496,0.0804146355850454,0.3789601947265564
-0.12415334972353358,0.08417805980435736,0.37626476285967964
-0.12032035766318258,0.07671527340833083,0.375673673216612
-0.12008397219961083,0.08381472352948001,0.3812247085179378
-0.1218283309170317,0.08750918686612409,0.37618477598010575
-0.14079887471207259,0.05172694539419556,0.38212596695173157
-0.13669521386500966,0.05220813067085251,0.39670640234227245
-0.1393465079725187,0.05552072330098716,0.3899898315779699
-0.13522628983910426,0.05594031395674867,0.3932093099726482
-0.13779194066454326,0.059273780779523326,0.38334955725333747
-0.13206703139723133,0.06323237503554054,0.3877844953677289
-0.13613631295064357,0.06298336523403969,0.3770030110773252
-0.1336603854155698,0.05955036797730531,0.3814992791937967
-0.1311691214432795,0.056262052402205255,0.3803438032144761
-0.12965413571186765,0.059853272387216466,0.37740708872887724
-0.12429826265122845,0.07014415370637485,0.39578637657003196
-0.12617327288933736,0.06674963731227251,0.3877493354030687
-0.1278900741570059,0.06327561819158276,0.3848486916117901
-0.14339282140074172,0.04402838596559023,0.3827821868115791
-0.13935654489607288,0.04480739026932025,0.39362339626247017
-0.14214797567742038,0.047895229520397,0.38666421979735716
-0.13808317911978682,0.04858508389810035,0.3878355188838522
-0.13407899188353126,0.049101011780730903,0.3893844247022766
-0.13541240451123757,0.045563094099772515,0.38262316234835175
-0.14052344259458266,0.041014723105283396,0.38460937858960237
-0.1365582571039243,0.04185256775923759,0.38634695490489035
-0.1495051784340334,0.012173808829114691,0.3383421336132349
-0.1456875648473285,0.01379001684673375,0.38113476110443983
-0.14912069357315394,0.016217852763591264,0.36034163184697476
-0.1459937494005869,0.009839500134292032,0.3642153078249004
-0.13760223929336546,0.03812596594314442,0.37454502793013617
-0.1473125524113234,0.028266798581747746,0.3704485241082767
-0.14333799507678674,0.029406529092711766,0.3884763524074841
-0.146493083356513,0.03224556603165361,0.3777087373881109
-0.1425236016356297,0.03332838032766602,0.38525415996430107
-0.1385424633760778,0.034299179027973734,0.36921904733486327
-0.14978001207766858,0.008120836287812629,0.31258783328109163
-0.14619516675724759,0.005820144376947596,0.343443532743168
-0.14256397119269995,0.007590469629941723,0.36492254544327224
-0.1495051784340334,-0.012173808829114782,0.28783514526901893
-0.14599341266146895,-0.010050184475931026,0.30947176540175025
-0.14978001207766858,-0.008120836287812702,0.2983570890279587
-0.14268834734267066,0.0036695731579960695,0.3538974043038134
-0.14912069357315394,-0.016217852763591376,0.27766461278737625
-0.14576127024436847,-0.013885411651955863,0.3024725664343238
-0.1221483927321032,0.0666349149172416,0.3970547915318377
-0.13268483676239048,0.05265275497365562,0.3909030454037246
-0.12554860380379293,0.059983739860996095,0.3825963257240182
-0.12396991450767243,0.06336807932251151,0.3867002176197137
-0.12717902589741192,0.05658334469641926,0.3784277223780484
-0.1286448573546351,0.05297777361494531,0.3837989359897089
-0.12316401788070465,0.0567260396732394,0.38029579887341375
-0.12031010585258982,0.06999164923675774,0.3881993690604934
-0.11835040540838293,0.07310809344424007,0.3758659304026197
-0.11634757188786074,0.06966778835240166,0.37216042643713015
-0.11777748645917652,0.08690952443580001,0.37724211359081417
-0.11941395985584656,0.09077613227906477,0.3740247766082258
-0.11607188737347585,0.08315737126812794,0.3790970050783373
-0.11373284030089283,0.08620883758984953,0.3775047294909348
-0.11643464168782439,0.07652062883791787,0.3841924307699243
-0.11829026268507108,0.08017830887591748,0.3812235240712971
-0.1144978575950182,0.0729247273098864,0.3785728508200447
-0.11424804175579507,0.07948039597826775,0.3855184061509553
-0.11236277360926823,0.07585087014540529,0.3877791606293914
-0.11205464030135688,0.08249813311973538,0.382496154137773
-0.11537824423916228,0.08996565955027973,0.38449836026234957
-0.11691200730623875,0.09397649997539798,0.3816054694111653
-0.11283008704800741,0.09317319407334179,0.382395526689665
-0.11432430826914548,0.09710794271727412,0.37670309820759423
-0.11137120391466938,0.08918201591509692,0.38071912430683613
-0.12471504028448195,0.05336993283741421,0.3774212338662879
-0.13006947747467004,0.049578441373906455,0.39196062998040654
-0.13267606079120497,0.04254381823608837,0.38335909527903045
-0.1313408302670078,0.04612175855877466,0.3861702876845925
-0.1346690189142678,0.035310048258677104,0.3743838695160661
-0.13375464652974037,0.03899449000162666,0.38425676259653296
-0.12986331570774992,0.03963486530928465,0.3802730788064805
-0.14229666898344218,0.011434270381068245,0.3732849422944682
-0.138932376399958,0.009253740705044073,0.37318211431494674
-0.13868513211533956,0.0129777088197484,0.37032396732885003
-0.14523616966132585,0.017731085130943916,0.38359508169378653
-0.148626839486821,0.020250002077993517,0.3638621958909007
